nm_pol,long,lat
CHITRANJAN PARK,77.2492,28.53632
DABRI,77.086,28.61268
MALVIYA NAGAR,77.20418,28.52989
CHANDNI MAHAL,77.23608,28.64361
MODEL TOWN,77.19369,28.70257
ANANDVIHAR,77.29373,28.65335
KASHMERE GATE,77.22618,28.66645
GOVIND PURI,77.26532,28.53067
BINDAPUR,77.06618,28.6091
NEW FRIENDS COLONY,77.2676,28.56234
SARITA VIHAR,77.30617,28.52299
TIMARPUR,77.2242,28.7072
KANJHAWALA,77.00361,28.72582
ANAND PARBAT,77.17376,28.66004
SAGARPUR,77.08644,28.59139
PRASHANT VIHAR,77.12757,28.71793
SOUTH CAMPUS,77.179,28.57051
ROHINI SOUTH,77.1159,28.70236
PUNJABI BAGH,77.13276,28.67441
DWARKA NORTH,77.01564,28.60369
BURARI,77.19735,28.73664
JAMA MASJID,77.23362,28.65284
ADRASH NAGAR,77.17532,28.70984
CHANAKYAPURI,77.19606,28.60337
PANDAV NAGAR,77.30265,28.62038
MIANWALI NAGAR,77.08879,28.67965
FATEHPUR BERI,77.15114,28.46549
NABI KARIM,77.21754,28.64981
RAJOURI GARDEN,77.11992,28.63969
JAHANGIR PURI,77.17487,28.73358
KAMLA MARKET,77.22621,28.64295
BARAKHAMBA ROAD,77.22498,28.63089
SAFDARJUNG ENCLAVE,77.20489,28.56934
MUKHERJI NAGAR,77.20856,28.70024
FARASH BAZAR,77.29224,28.66879
KALKAJI,77.25743,28.53321
KALKAJI,77.25644,28.54728
PARSHAD NAGAR,77.18053,28.64784
LODHI COLONY,77.24047,28.58744
INDERPURI,77.14501,28.63077
OKHLA,77.27462,28.52678
SAMAYPURBADLI,77.14219,28.72516
JAFFARPUR KALAN,76.91555,28.59572
MAYA PURI,77.12084,28.62657
AMAN VIHAR,77.06081,28.70965
VIJAY VIHAR,77.10186,28.71003
AMAR COLONY,77.24093,28.55914
ALIPUR,77.13913,28.79903
MAHENDRA PARK,77.16418,28.72579
VASANT KUNJ SOUTH,77.15236,28.53492
BHALSWA DAIRY,77.16574,28.74286
BAWANA,77.04254,28.79654
BEGUM PUR,77.05179,28.72449
NARAINA,77.13777,28.63356
NEB SARAI,77.21428,28.49893
RAJINDER NAGAR,77.18285,28.63505
SHALIMAR BAGH,77.15712,28.71681
KESHAV PURAM,77.15977,28.68423
RANI BAGH,77.11933,28.69784
BARA HINDU RAO,77.20846,28.66539
CONNAUGHT PLACE,77.21432,28.63
H. N. DIN,77.24417,28.59238
DARYA GANJ,77.24062,28.6419
MANGOLPURI,77.09163,28.69664
VIVEKVIHAR,77.30662,28.66676
LAHORI GATE,77.21885,28.65557
SULTAN PURI,77.07856,28.70265
GEETA COLONY,77.27642,28.6554
CIVIL LINES,77.2215,28.68851
ASHOK VIHAR,77.17432,28.69245
TILAK NAGAR,77.10143,28.63896
PALAM VILLAGE,77.08293,28.58809
MOTI NAGAR,77.14659,28.66013
HARI NAGAR,77.09946,28.60935
